Artist,Price,City,Venue,Date,Time
A CHRISTMAS CAROL: A FOLK OPERA,£13.20,SOUTHAMPTON,Hanger Farm Arts Centre,"Sun 3rd Dec, 2017, ", 7:30pm
A CHRISTMAS CAROL: A FOLK OPERA,£11.00,SOUTHAMPTON,Hanger Farm Arts Centre,"Sun 3rd Dec, 2017, ", 7:30pm
A CHRISTMAS CRACKER OF SEASONAL SONGS,£9.90,BUXTON,The Green Man Gallery,"Sun 3rd Dec, 2017, ", 5:30pm
A CHRISTMAS CRACKER OF SEASONAL SONGS,£8.80,BUXTON,The Green Man Gallery,"Sun 3rd Dec, 2017, ", 5:30pm
ADVENT CAROL CONCERT,£13.75,SANDHURST,St Nicholas Church,"Sun 3rd Dec, 2017, ", 6:30pm
AFTERNOON TEA WITH FATHER CHRISTMAS,£16.50,COVENTRY,Charterhouse Priory,"Sun 3rd Dec, 2017, ", 1:30pm
AN ENGLISH CHRISTMAS BY OXFORD GIRLS' CHOIR AND ALUMNAE AT 7PM,£11.00,OXFORD,St John the Evangelist Church,"Sun 3rd Dec, 2017, ", 6:40pm
AN ENGLISH CHRISTMAS BY OXFORD GIRLS' CHOIR AND ALUMNAE AT 7PM,£5.50,OXFORD,St John the Evangelist Church,"Sun 3rd Dec, 2017, ", 6:40pm
AN ENGLISH CHRISTMAS BY OXFORD GIRLS' CHOIR AND ALUMNAE AT 7PM,£0.00,OXFORD,St John the Evangelist Church,"Sun 3rd Dec, 2017, ", 6:40pm
ANDY WHITE,£13.20,BATH,Chapel Arts Centre,"Sun 3rd Dec, 2017, ", 7:30pm
ARCHIE FISHER MBE,£8.80,SOUTHAMPTON,Hanger Farm Arts Centre,"Sun 3rd Dec, 2017, ", 7:30pm
BEGINNINGS,£8.80,SOUTHAMPTON,Hanger Farm Arts Centre,"Sun 3rd Dec, 2017, ", 7:30pm
BEGINNINGS,£4.40,BUXTON,The Green Man Gallery,"Sun 3rd Dec, 2017, ", 5:30pm
BEN TARGET AND JOHN HASTINGS: COMEDIANS OF ART (SHOW RESCHEDULED TO DECEMBER),£8.80,BUXTON,The Green Man Gallery,"Sun 3rd Dec, 2017, ", 5:30pm
BEN TARGET AND JOHN HASTINGS: COMEDIANS OF ART EARLYBIRD £5 TICKETS (SHOW RESCHEDULED TO DECEMBER),£5.50,SANDHURST,St Nicholas Church,"Sun 3rd Dec, 2017, ", 6:30pm
BERNIE TORME,£9.90,COVENTRY,Charterhouse Priory,"Sun 3rd Dec, 2017, ", 1:30pm
BERNIE TORME,£7.70,OXFORD,St John the Evangelist Church,"Sun 3rd Dec, 2017, ", 6:40pm
BUFFALO GALS,£11.00,OXFORD,St John the Evangelist Church,"Sun 3rd Dec, 2017, ", 6:40pm
CABARET VS CANCER PRESENTS THE END OF THE YEAR SHOW!,£8.80,OXFORD,St John the Evangelist Church,"Sun 3rd Dec, 2017, ", 6:40pm
CABARET VS CANCER PRESENTS THE END OF THE YEAR SHOW!,£5.50,BATH,Chapel Arts Centre,"Sun 3rd Dec, 2017, ", 7:30pm
CANDLELIT ADVENT CONCERT,£11.00,SOUTHAMPTON,Hanger Farm Arts Centre,"Sun 3rd Dec, 2017, ", 7:30pm
CANDLELIT ADVENT CONCERT,£7.70,SOUTHAMPTON,Hanger Farm Arts Centre,"Sun 3rd Dec, 2017, ", 7:30pm
CARL PALMER'S ELP LEGACY,£28.05,BUXTON,The Green Man Gallery,"Sun 3rd Dec, 2017, ", 5:30pm
CHAMBERHOUSE WINDS PRESENT THE SNOWMAN IN CONCERT,£8.80,BUXTON,The Green Man Gallery,"Sun 3rd Dec, 2017, ", 5:30pm
CHAMBERHOUSE WINDS PRESENT THE SNOWMAN IN CONCERT,£6.60,SANDHURST,St Nicholas Church,"Sun 3rd Dec, 2017, ", 6:30pm
"CHARLIE BAKER (CHANNEL 4'S COMEDY GALA, HARRY HILL'S TEA TIME)",£7.70,COVENTRY,Charterhouse Priory,"Sun 3rd Dec, 2017, ", 1:30pm
CHOIR IN A DAY WITH JAMES SILLS - CHRISTMAS SPECIAL,£25.00,OXFORD,St John the Evangelist Church,"Sun 3rd Dec, 2017, ", 6:40pm
CHRIS T-T  FINAL FAREWELL CONCERT,£13.20,OXFORD,St John the Evangelist Church,"Sun 3rd Dec, 2017, ", 6:40pm
COCKTAIL & CRUISE ON THE DANUBE,£23.10,OXFORD,St John the Evangelist Church,"Sun 3rd Dec, 2017, ", 6:40pm
COCKTAIL & CRUISE ON THE DANUBE,£20.90,BATH,Chapel Arts Centre,"Sun 3rd Dec, 2017, ", 7:30pm
COCKTAIL & CRUISE ON THE DANUBE,£3.30,SOUTHAMPTON,Hanger Farm Arts Centre,"Sun 3rd Dec, 2017, ", 7:30pm
DEATHWAVE PRESENTS SOLITARY,£7.70,SOUTHAMPTON,Hanger Farm Arts Centre,"Sun 3rd Dec, 2017, ", 7:30pm
DIDSBURY COMEDY CLUB SUNDAY 3RD DECEMBER,£47.52,BUXTON,The Green Man Gallery,"Sun 3rd Dec, 2017, ", 5:30pm
DINNER & CRUISE WITH LIVE MUSIC AT 7 PM.,£45.36,BUXTON,The Green Man Gallery,"Sun 3rd Dec, 2017, ", 5:30pm
DINNER & CRUISE WITH LIVE MUSIC AT 7 PM.,£16.50,SANDHURST,St Nicholas Church,"Sun 3rd Dec, 2017, ", 6:30pm
ELF (PG) LEADENHALL MARKET,£48.15,COVENTRY,Charterhouse Priory,"Sun 3rd Dec, 2017, ", 1:30pm
EXPLORE MAGICAL BATH CHRISTMAS MARKET AND ENJOY A 2 HOUR GUIDED TOUR OF BATH!,£8.80,OXFORD,St John the Evangelist Church,"Sun 3rd Dec, 2017, ", 6:40pm
FELIPE MONTIERO QUINTET + SAM RAPLEY'S FABLED,£5.50,OXFORD,St John the Evangelist Church,"Sun 3rd Dec, 2017, ", 6:40pm
FUNHOUSE COMEDY CLUB,£5.50,OXFORD,St John the Evangelist Church,"Sun 3rd Dec, 2017, ", 6:40pm
GELLERT SPA FULL DAY ENTRANCE TICKET,£13.75,BATH,Chapel Arts Centre,"Sun 3rd Dec, 2017, ", 7:30pm
GHOST WORLD,£5.50,SOUTHAMPTON,Hanger Farm Arts Centre,"Sun 3rd Dec, 2017, ", 7:30pm
GIGGLE AID MANCHESTER STARRING NORMAN LOVETT (HOLLY FROM RED DWARF),£5.50,SOUTHAMPTON,Hanger Farm Arts Centre,"Sun 3rd Dec, 2017, ", 7:30pm
GREG GENRE,£7.70,BUXTON,The Green Man Gallery,"Sun 3rd Dec, 2017, ", 5:30pm
HILARITY BITES COMEDY CLUB FEAT. RIA LINA & PHIL PAGETT,£7.70,BUXTON,The Green Man Gallery,"Sun 3rd Dec, 2017, ", 5:30pm
HITHER GREEN CINEMA - HOME ALONE & XMAS FUN,£11.00,SANDHURST,St Nicholas Church,"Sun 3rd Dec, 2017, ", 6:30pm
"JAMES FROST, BETH COOMBES, OMER MAKESSA AT THE ANGEL STUDIOS",£9.90,COVENTRY,Charterhouse Priory,"Sun 3rd Dec, 2017, ", 1:30pm
JANE ROTHFIELD,£32.70,OXFORD,St John the Evangelist Church,"Sun 3rd Dec, 2017, ", 6:40pm
JANE ROTHFIELD,£16.50,OXFORD,St John the Evangelist Church,"Sun 3rd Dec, 2017, ", 6:40pm
JEWIN CHRISTMAS CONCERT 2017,£6.60,OXFORD,St John the Evangelist Church,"Sun 3rd Dec, 2017, ", 6:40pm
JEWIN CHRISTMAS CONCERT 2017,£8.80,BATH,Chapel Arts Centre,"Sun 3rd Dec, 2017, ", 7:30pm
JORDAN ALLEN,£6.60,SOUTHAMPTON,Hanger Farm Arts Centre,"Sun 3rd Dec, 2017, ", 7:30pm
JULE FELIX AT WALTHAMSTOW FOLK,£9.90,SOUTHAMPTON,Hanger Farm Arts Centre,"Sun 3rd Dec, 2017, ", 7:30pm
JULE FELIX AT WALTHAMSTOW FOLK,£8.80,BUXTON,The Green Man Gallery,"Sun 3rd Dec, 2017, ", 5:30pm
KITTY MACFARLANE / JESS MORGAN,£22.00,BUXTON,The Green Man Gallery,"Sun 3rd Dec, 2017, ", 5:30pm
LANCASTER COMEDY CLUB,£7.70,SANDHURST,St Nicholas Church,"Sun 3rd Dec, 2017, ", 6:30pm
LIAF 2017: KINOMANUAL DIRECT ANIMATION EXPERIMENTAL WORKSHOP,£19.80,COVENTRY,Charterhouse Priory,"Sun 3rd Dec, 2017, ", 1:30pm
MARK HARRISON + GABRIEL MESH,£22.00,OXFORD,St John the Evangelist Church,"Sun 3rd Dec, 2017, ", 6:40pm
MASQUERADE 2,£5.50,OXFORD,St John the Evangelist Church,"Sun 3rd Dec, 2017, ", 6:40pm
